"TreeID","Girth_cm","DateRange","Start_Year","End_Year"
226,83,"2007-2015
",2007,2015
227,145,"2007-2015
",2007,2015
228,55,"2007-2015
",2007,2015
229,78,"2007-2015
",2007,2015
230,148,"2007-2015
",2007,2015
230,165,"2016-2019
",2016,2019
231,193,"2007-2015
",2007,2015
231,201,"2016-2019
",2016,2019
232,126,"2007-2015
",2007,2015
233,68,"2007-2015
",2007,2015
234,140,"2007-2015
",2007,2015
235,123,"2007-2015
",2007,2015
235,126,"2016-2019
",2016,2019
236,126,"2007-2015
",2007,2015
236,135,"2016-2019
",2016,2019
237,194,"2007-2015
",2007,2015
237,204,"2016-2019
",2016,2019
238,79,"2007-2015
",2007,2015
238,80,"2016-2019
",2016,2019
239,70,"2007-2015
",2007,2015
240,166,"2007-2015
",2007,2015
240,180,"2016-2019
",2016,2019
241,124,"2007-2015
",2007,2015
241,126,"2016-2019
",2016,2019
242,132,"2007-2015
",2007,2015
243,71,"2007-2015
",2007,2015
244,69,"2007-2015
",2007,2015
245,118,"2007-2015
",2007,2015
246,82,"2007-2015
",2007,2015
246,88,"2016-2019
",2016,2019
247,48,"2016-2019
",2016,2019
248,35,"2007-2015
",2007,2015
249,138,"2007-2015
",2007,2015
250,51,"2007-2015
",2007,2015
251,103,"2007-2015
",2007,2015
252,92,"2007-2015
",2007,2015
253,57,"2007-2015
",2007,2015
254,53,"2007-2015
",2007,2015
255,75,"2007-2015
",2007,2015
256,93,"2007-2015
",2007,2015
257,153,"2007-2015
",2007,2015
258,136,"2007-2015
",2007,2015
259,111,"2007-2015
",2007,2015
260,57,"2007-2015
",2007,2015
261,113,"2007-2015
",2007,2015
262,171,"2007-2015
",2007,2015
263,201,"2007-2015
",2007,2015
264,147,"2007-2015
",2007,2015
265,139,"2007-2015
",2007,2015
266,67,"2007-2015
",2007,2015
267,112,"2007-2015
",2007,2015
268,88,"2007-2015
",2007,2015
269,163,"2007-2015
",2007,2015
270,177,"2007-2015
",2007,2015
271,81,"2007-2015
",2007,2015
272,100,"2007-2015
",2007,2015
273,71,"2007-2015
",2007,2015
274,83,"2007-2015
",2007,2015
275,141,"2007-2015
",2007,2015
276,89,"2007-2015
",2007,2015
277,115,"2007-2015
",2007,2015
278,78,"2007-2015
",2007,2015
279,170,"2007-2015
",2007,2015
280,121,"2007-2015
",2007,2015
281,91,"2007-2015
",2007,2015
282,123,"2007-2015
",2007,2015
283,134,"2007-2015
",2007,2015
284,120,"2007-2015
",2007,2015
285,131,"2007-2015
",2007,2015
286,161,"2007-2015
",2007,2015
287,171,"2007-2015
",2007,2015
288,229,"2007-2015
",2007,2015
289,104,"2007-2015
",2007,2015
290,100,"2007-2015
",2007,2015
291,153,"2007-2015
",2007,2015
292,165,"2007-2015
",2007,2015
293,171,"2007-2015
",2007,2015
294,152,"2007-2015
",2007,2015
295,84,"2007-2015
",2007,2015
296,93,"2007-2015
",2007,2015
297,140,"2007-2015
",2007,2015
298,100,"2007-2015
",2007,2015
299,122,"2007-2015
",2007,2015
300,49,"2007-2015
",2007,2015
301,153,"2007-2015
",2007,2015
302,53,"2007-2015
",2007,2015
303,223,"2007-2015
",2007,2015
304,165,"2007-2015
",2007,2015
305,118,"2007-2015
",2007,2015
306,140,"2007-2015
",2007,2015
307,161,"2007-2015
",2007,2015
308,87,"2007-2015
",2007,2015
309,133,"2007-2015
",2007,2015
310,98,"2007-2015
",2007,2015
311,110,"2007-2015
",2007,2015
312,97,"2007-2015
",2007,2015
313,38,"2007-2015
",2007,2015
314,152,"2007-2015
",2007,2015
315,124,"2007-2015
",2007,2015
316,120,"2007-2015
",2007,2015
317,220,"2007-2015
",2007,2015
318,153,"2007-2015
",2007,2015
320,190,"2007-2015
",2007,2015
321,249,"2007-2015
",2007,2015
321,263,"2016-2019
",2016,2019
322,152,"2007-2015
",2007,2015
322,172,"2016-2019
",2016,2019
323,196,"2007-2015
",2007,2015
323,218,"2016-2019
",2016,2019
324,52,"2007-2015
",2007,2015
324,56,"2016-2019
",2016,2019
325,250,"2007-2015
",2007,2015
325,256,"2016-2019
",2016,2019
326,197,"2007-2015
",2007,2015
326,212,"2016-2019
",2016,2019
327,368,"2007-2015
",2007,2015
328,241,"2007-2015
",2007,2015
328,240,"2016-2019
",2016,2019
329,91,"2007-2015
",2007,2015
329,233,"2016-2019
",2016,2019
331,66,"2007-2015
",2007,2015
332,112,"2007-2015
",2007,2015
333,79,"2007-2015
",2007,2015
334,107,"2007-2015
",2007,2015
334,106,"2016-2019
",2016,2019
335,80,"2007-2015
",2007,2015
336,68,"2007-2015
",2007,2015
336,65,"2016-2019
",2016,2019
337,49,"2007-2015
",2007,2015
338,42,"2007-2015
",2007,2015
340,50,"2007-2015
",2007,2015
341,190,"2007-2015
",2007,2015
341,190,"2016-2019
",2016,2019
342,107,"2007-2015
",2007,2015
343,55,"2007-2015
",2007,2015
344,207,"2007-2015
",2007,2015
344,222,"2016-2019
",2016,2019
345,200,"2016-2019
",2016,2019
346,174,"2007-2015
",2007,2015
346,190,"2016-2019
",2016,2019
347,137,"2007-2015
",2007,2015
348,131,"2007-2015
",2007,2015
349,145,"2016-2019
",2016,2019
350,122,"2007-2015
",2007,2015
350,125,"2016-2019
",2016,2019
351,163,"2007-2015
",2007,2015
351,206,"2016-2019
",2016,2019
352,232,"2016-2019
",2016,2019
353,74,"2016-2019
",2016,2019
354,75,"2007-2015
",2007,2015
355,101,"2007-2015
",2007,2015
355,114,"2016-2019
",2016,2019
356,100,"2007-2015
",2007,2015
356,142,"2016-2019
",2016,2019
357,88,"2007-2015
",2007,2015
357,98,"2016-2019
",2016,2019
358,31,"2007-2015
",2007,2015
358,35,"2016-2019
",2016,2019
359,99,"2007-2015
",2007,2015
359,102,"2016-2019
",2016,2019
360,130,"2007-2015
",2007,2015
360,144,"2016-2019
",2016,2019
361,77,"2007-2015
",2007,2015
361,81,"2016-2019
",2016,2019
362,58,"2007-2015
",2007,2015
362,64,"2016-2019
",2016,2019
363,46,"2007-2015
",2007,2015
363,50,"2016-2019
",2016,2019
364,49,"2007-2015
",2007,2015
364,55,"2016-2019
",2016,2019
365,62,"2007-2015
",2007,2015
365,71,"2016-2019
",2016,2019
366,135,"2007-2015
",2007,2015
366,181,"2016-2019
",2016,2019
367,95,"2007-2015
",2007,2015
367,104,"2016-2019
",2016,2019
368,86,"2007-2015
",2007,2015
368,129,"2016-2019
",2016,2019
369,100,"2007-2015
",2007,2015
369,115,"2016-2019
",2016,2019
370,59,"2007-2015
",2007,2015
370,68,"2016-2019
",2016,2019
371,32,"2007-2015
",2007,2015
371,40,"2016-2019
",2016,2019
372,108,"2007-2015
",2007,2015
372,124,"2016-2019
",2016,2019
373,33,"2007-2015
",2007,2015
373,28,"2016-2019
",2016,2019
374,30,"2007-2015
",2007,2015
374,33,"2016-2019
",2016,2019
375,25,"2007-2015
",2007,2015
375,28,"2016-2019
",2016,2019
376,131,"2007-2015
",2007,2015
377,110,"2007-2015
",2007,2015
379,168,"2007-2015
",2007,2015
379,176,"2016-2019
",2016,2019
380,108,"2007-2015
",2007,2015
381,61,"2007-2015
",2007,2015
381,176,"2016-2019
",2016,2019
383,95,"2007-2015
",2007,2015
385,87,"2007-2015
",2007,2015
386,82,"2007-2015
",2007,2015
387,73,"2007-2015
",2007,2015
388,51,"2007-2015
",2007,2015
389,110,"2007-2015
",2007,2015
389,127,"2016-2019
",2016,2019
390,79,"2007-2015
",2007,2015
391,50,"2007-2015
",2007,2015
392,80,"2007-2015
",2007,2015
393,63,"2007-2015
",2007,2015
394,125,"2007-2015
",2007,2015
394,141,"2016-2019
",2016,2019
395,68,"2007-2015
",2007,2015
396,76,"2007-2015
",2007,2015
396,77,"2016-2019
",2016,2019
397,90,"2007-2015
",2007,2015
397,77,"2016-2019
",2016,2019
398,79,"2007-2015
",2007,2015
399,76,"2007-2015
",2007,2015
400,105,"2007-2015
",2007,2015
401,85,"2007-2015
",2007,2015
402,65,"2007-2015
",2007,2015
403,150,"2007-2015
",2007,2015
404,91,"2007-2015
",2007,2015
405,124,"2007-2015
",2007,2015
406,130,"2007-2015
",2007,2015
407,45,"2007-2015
",2007,2015
408,53,"2007-2015
",2007,2015
409,132,"2007-2015
",2007,2015
410,178,"2007-2015
",2007,2015
410,175,"2016-2019
",2016,2019
414,28,"2007-2015
",2007,2015
415,83,"2007-2015
",2007,2015
415,134,"2016-2019
",2016,2019
416,64,"2007-2015
",2007,2015
416,90,"2016-2019
",2016,2019
417,54,"2007-2015
",2007,2015
417,54,"2016-2019
",2016,2019
418,261,"2007-2015
",2007,2015
418,276,"2016-2019
",2016,2019
419,134,"2007-2015
",2007,2015
419,152,"2016-2019
",2016,2019
420,80,"2007-2015
",2007,2015
420,127,"2016-2019
",2016,2019
422,60,"2007-2015
",2007,2015
422,55,"2016-2019
",2016,2019
423,136,"2007-2015
",2007,2015
423,140,"2016-2019
",2016,2019
424,177,"2007-2015
",2007,2015
424,245,"2016-2019
",2016,2019
425,48,"2007-2015
",2007,2015
425,57,"2016-2019
",2016,2019
426,133,"2007-2015
",2007,2015
426,145,"2016-2019
",2016,2019
427,240,"2007-2015
",2007,2015
427,240,"2016-2019
",2016,2019
428,69,"2007-2015
",2007,2015
428,70,"2016-2019
",2016,2019
429,122,"2007-2015
",2007,2015
429,138,"2016-2019
",2016,2019
430,165,"2007-2015
",2007,2015
430,157,"2016-2019
",2016,2019
431,143,"2007-2015
",2007,2015
431,150,"2016-2019
",2016,2019
432,128,"2007-2015
",2007,2015
432,153,"2016-2019
",2016,2019
433,196,"2007-2015
",2007,2015
433,207,"2016-2019
",2016,2019
434,140,"2007-2015
",2007,2015
434,151,"2016-2019
",2016,2019
435,88,"2007-2015
",2007,2015
435,90,"2016-2019
",2016,2019
436,197,"2007-2015
",2007,2015
436,212,"2016-2019
",2016,2019
437,84,"2007-2015
",2007,2015
437,119,"2016-2019
",2016,2019
438,87,"2007-2015
",2007,2015
438,91,"2016-2019
",2016,2019
439,167,"2007-2015
",2007,2015
439,171,"2016-2019
",2016,2019
440,130,"2007-2015
",2007,2015
440,135,"2016-2019
",2016,2019
441,111,"2016-2019
",2016,2019
443,146,"2007-2015
",2007,2015
443,208,"2016-2019
",2016,2019
444,88,"2007-2015
",2007,2015
444,123,"2016-2019
",2016,2019
445,174,"2007-2015
",2007,2015
445,228,"2016-2019
",2016,2019
446,94,"2007-2015
",2007,2015
446,111,"2016-2019
",2016,2019
447,118,"2007-2015
",2007,2015
447,136,"2016-2019
",2016,2019
448,113,"2016-2019
",2016,2019
449,91,"2016-2019
",2016,2019
450,84,"2016-2019
",2016,2019
451,63,"2016-2019
",2016,2019
452,44,"2007-2015
",2007,2015
453,325,"2007-2015
",2007,2015
